MEANING	CLUSTER_ALGO	Precision	Recall	F-score	ARI	# of. Predicted Clusters	# of. Gold Clusters	ALPHA
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.1
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.10959003918412327
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.060280688254752204
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.04207204486962415
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.057663323006374036
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.042188457356129
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.11358911545094244
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.11358911545094244
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.1443384807145672
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.1443384807145672
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.023084765356306106
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.02012056309215064
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.21612572329092697
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.08937752933346474
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.11657336905646556
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.11657336905646556
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.08256570858280655
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.1019558833427469
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.05159261184086419
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.06565756013121263
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.06565756013121263
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.06565756013121263
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.07376702935370742
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.10750879845701766
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.055478816943932384
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.055478816943932384
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.055478816943932384
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.07206265830575624
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.08541282362024925
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.08541282362024925
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.08541282362024925
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.24961067776472676
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.05733354954062123
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.0672071040269366
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.0672071040269366
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.062192249796956825
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.024230774943437113
louse	CRP	0.5503711558854719	0.9782608695652174	0.7044292629959734	0.27581267852586	4	5	0.04311855376190967
