,concept,language,word,ID,cc
113,breast,LIGURIAN_RAPALLO,kaSeta,113,breast:10
114,breast,LIGURIAN_STELLA,pEtu,114,breast:3
115,breast,LOMBARD_BERGAMO,stomEk,115,breast:6
116,breast,LOMBARD_PLESIO,StumEk,116,breast:6
117,breast,NEAPOLITAN_CALABRESE,pyetE,117,breast:4
118,breast,NONES,livEr,118,breast:11
119,breast,NONES_FASSANO,pyet,119,breast:4
120,breast,NONES_GARDENESE,pyet,120,breast:4
121,breast,PIEMONTESE_BARBANIA,pEt,121,breast:3
122,breast,PIEMONTESE_CARMAGNOLA,stomi,122,breast:6
123,breast,PIEMONTESE_LANZO_TORINESE,pEt,123,breast:3
124,breast,PIEMONTESE_VERCELLESE,stomik,124,breast:6
125,breast,PORTUGUESE,saiuS,125,breast:12
126,breast,ROMAGNOL_RAVENNATE,pE3t,126,breast:3
127,breast,ROMANIAN,pept,127,breast:4
128,breast,ROMANIAN_2,s3n,128,breast:13
129,breast,ROMANIAN_MEGLENO,Ciept,129,breast:4
130,breast,ROMANSH_GRISHUN,pET,130,breast:3
131,breast,ROMANSH_SURMIRAN,pET,131,breast:3
132,breast,ROMANSH_SURSILVAN,pEc,132,breast:3
133,breast,ROMANSH_VALLADER,pet,133,breast:4
134,breast,SARDINIAN,petus,134,breast:4
135,breast,SARDINIAN_CAMPIDANESE,pitura,135,breast:14
136,breast,SARDINIAN_LOGUDARESE,petora,136,breast:15
137,breast,SICILIAN_UnnamedInSource,petu,137,breast:4
138,breast,SPANISH,peCo,138,breast:9
139,breast,TURIA_AROMANIAN,caca,139,breast:16
140,breast,VLACH,keptu,140,breast:17
141,come,ALBANIAN_GHEG,yak3,141,come:0
142,come,ALBANIAN,viy,142,come:1
143,come,ALBANIAN_TOSK,viy,143,come:1
144,come,ARAGONESE,benir,144,come:2
145,come,ARPITAN,v35i,145,come:2
146,come,ASTURIAN,venir,146,come:2
147,come,CATALAN,b3ni,147,come:3
148,come,CATALAN_2,b3ni,148,come:3
149,come,CORSICAN,vEn,149,come:4
150,come,DALMATIAN,venar,150,come:2
151,come,EMILIANO_CARPIGIANO,5ir,151,come:2
152,come,EMILIANO_FERRARESE,5ir,152,come:2
153,come,EMILIANO_REGGIANO,5ir,153,come:2
154,come,FRENCH,v3ni,154,come:5
155,come,FRIULIAN,vi5ei,155,come:2
156,come,GALICIAN,bir,156,come:2
157,come,GASCON,biene,157,come:6
158,come,ITALIAN,vEn,158,come:4
159,come,ITALIAN_GROSSETO_TUSCAN,venire,159,come:2
160,come,JUDEO_ESPAGNOL,venir,160,come:2
161,come,LANGUEDOCIEN,bEni,161,come:3
162,come,LIGURIAN_GENOESE,ve5i,162,come:2
163,come,LIGURIAN_RAPALLO,ve5i,163,come:2
164,come,LIGURIAN_STELLA,ve5i,164,come:2
165,come,LOMBARD_BERGAMO,E5,165,come:7
166,come,LOMBARD_PLESIO,ve5i,166,come:2
167,come,NEAPOLITAN_CALABRESE,v3ni,167,come:5
168,come,NONES,vEnEr,168,come:8
169,come,NONES_FASSANO,ve5ir,169,come:2
170,come,NONES_GARDENESE,uni,170,come:9
171,come,OCCITAN_ARANESE,bie,171,come:10
172,come,PIEMONTESE_BARBANIA,vni,172,come:5
173,come,PIEMONTESE_CARMAGNOLA,vni,173,come:5
174,come,PIEMONTESE_LANZO_TORINESE,vni,174,come:5
175,come,PIEMONTESE_VERCELLESE,5i,175,come:2
176,come,PORTUGUESE,vir,176,come:2
177,come,ROMAGNOL_RAVENNATE,vni,177,come:5
178,come,ROMANIAN,ven,178,come:2
179,come,ROMANIAN_2,veny,179,come:2
180,come,ROMANIAN_MEGLENO,vin,180,come:11
181,come,ROMANSH_GRISHUN,v35ir,181,come:2
182,come,ROMANSH_SURMIRAN,nEkr,182,come:12
183,come,ROMANSH_SURSILVAN,ve5ir,183,come:2
184,come,ROMANSH_VALLADER,5ir,184,come:2
185,come,SARDINIAN,benere,185,come:2
186,come,SARDINIAN_CAMPIDANESE,bEni,186,come:3
187,come,SARDINIAN_LOGUDARESE,benere,187,come:2
